fixture_date,season,division,home_team,away_team,home_score,away_score,URLs,fixtureID
2023-11-20,23,1,St. Matthias E,St. Matthias C,2,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582643.html,NA
2023-11-27,23,1,Brighton Castle Juniors,Castle Club  A,5,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582645.html,NA
2023-11-27,23,1,Castle Club  B,St. Matthias D,3,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582646.html,NA
2023-11-27,23,1,Portslade Sports A,St. Matthias E,2,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582648.html,NA
2023-11-27,23,1,St. Matthias A,St. Matthias B,6,0,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582644.html,NA
2023-11-27,23,1,St. Matthias C,Portslade Sports B,5,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582647.html,NA
2024-01-08,23,1,Castle Club  B,St. Matthias E,3,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582649.html,NA
2024-01-08,23,1,Portslade Sports A,Portslade Sports B,1,5,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582653.html,NA
2024-01-08,23,1,St. Matthias A,Brighton Castle Juniors,2,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582652.html,NA
2024-01-08,23,1,St. Matthias B,St. Matthias D,1,5,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582651.html,NA
2024-01-08,23,1,St. Matthias C,Castle Club  A,5,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582650.html,NA
2024-01-15,23,1,Brighton Castle Juniors,St. Matthias C,1,5,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582657.html,NA
2024-01-15,23,1,Castle Club  A,Portslade Sports A,5,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582655.html,NA
2024-01-15,23,1,Portslade Sports B,Castle Club  B,4,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582658.html,NA
2024-01-15,23,1,St. Matthias D,St. Matthias A,3,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582654.html,NA
2024-01-15,23,1,St. Matthias E,St. Matthias B,5,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582656.html,NA
2024-01-22,23,1,Castle Club  B,Castle Club  A,1,5,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582663.html,NA
2024-01-22,23,1,Portslade Sports A,Brighton Castle Juniors,3,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582660.html,NA
2024-01-22,23,1,St. Matthias B,Portslade Sports B,3,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582659.html,NA
2024-01-22,23,1,St. Matthias C,St. Matthias A,4,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582661.html,NA
2024-01-22,23,1,St. Matthias D,St. Matthias E,3,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582662.html,NA
2024-01-29,23,1,Brighton Castle Juniors,Castle Club  B,3,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582665.html,NA
2024-01-29,23,1,Castle Club  A,St. Matthias B,5,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582667.html,NA
2024-01-29,23,1,Portslade Sports B,St. Matthias D,1,5,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582666.html,NA
2024-01-29,23,1,St. Matthias A,St. Matthias E,2,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582664.html,NA
2024-01-29,23,1,St. Matthias C,Portslade Sports A,5,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582668.html,NA
2024-02-12,23,1,Castle Club  B,St. Matthias C,1,5,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582673.html,NA
2024-02-12,23,1,Portslade Sports A,St. Matthias A,1,5,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582671.html,NA
2024-02-12,23,1,St. Matthias B,Brighton Castle Juniors,3,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582670.html,NA
2024-02-12,23,1,St. Matthias D,Castle Club  A,1,5,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582672.html,NA
2024-02-12,23,1,St. Matthias E,Portslade Sports B,5,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582669.html,NA
2024-02-19,23,1,Brighton Castle Juniors,St. Matthias D,3,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582674.html,NA
2024-02-19,23,1,Castle Club  A,St. Matthias E,4,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582676.html,NA
2024-02-19,23,1,Portslade Sports A,Castle Club  B,2,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582677.html,NA
2024-02-19,23,1,St. Matthias A,Portslade Sports B,3,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582678.html,NA
2024-02-19,23,1,St. Matthias C,St. Matthias B,4,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582675.html,NA
2024-02-26,23,1,Castle Club  B,St. Matthias A,0,6,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582682.html,NA
2024-02-26,23,1,Portslade Sports B,Castle Club  A,3,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582680.html,NA
2024-02-26,23,1,St. Matthias B,Portslade Sports A,0,6,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582681.html,NA
2024-02-26,23,1,St. Matthias D,St. Matthias C,0,6,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582683.html,NA
2024-02-26,23,1,St. Matthias E,Brighton Castle Juniors,4,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582679.html,NA
2024-03-04,23,1,Brighton Castle Juniors,Portslade Sports B,4,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582684.html,NA
2024-03-04,23,1,Castle Club  B,St. Matthias B,6,0,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582688.html,NA
2024-03-04,23,1,Portslade Sports A,St. Matthias D,2,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582685.html,NA
2024-03-04,23,1,St. Matthias A,Castle Club  A,5,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582686.html,NA
2024-03-04,23,1,St. Matthias C,St. Matthias E,3,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582687.html,NA
2024-03-11,23,1,Castle Club  A,Brighton Castle Juniors,6,0,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582693.html,NA
2024-03-11,23,1,Portslade Sports B,St. Matthias C,1,5,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582692.html,NA
2024-03-11,23,1,St. Matthias B,St. Matthias A,0,6,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582690.html,NA
2024-03-11,23,1,St. Matthias D,Castle Club  B,4,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582691.html,NA
2024-03-11,23,1,St. Matthias E,Portslade Sports A,4,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35582689.html,NA
2023-09-25,23,2,Champion House B,Southwick Sports A,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505699.html,NA
2023-09-25,23,2,Hove Deep Sea Anglers,Portslade Legion,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505700.html,NA
2023-09-25,23,2,Moulsecoomb Club B,Southwick Sports B,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505703.html,NA
2023-09-25,23,2,Preston Club,Moulsecoomb Club C,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505701.html,NA
