Season,Division,Results URL
14,1,http://brightonhovedistrictbilliards.leaguerepublic.com/l/results/421754936/1_240570223/-1/-1.html
15,1,http://brightonhovedistrictbilliards.leaguerepublic.com/l/results/343184637/1_356827727/-1/-1.html
16,1,http://brightonhovedistrictbilliards.leaguerepublic.com/l/results/770953108/1_620939556/-1/-1.html
17,1,http://brightonhovedistrictbilliards.leaguerepublic.com/l/results/962977859/1_517088076/-1/-1.html
18,1,http://brightonhovedistrictbilliards.leaguerepublic.com/l/results/230701071/1_857609359/-1/-1.html
19,1,http://brightonhovedistrictbilliards.leaguerepublic.com/l/results/222043516/1_246752393/-1/-1.html
21,1,https://brightonhovedistrictbilliards.leaguerepublic.com/results/152650500/1_972499499/-1/-1.html
22,1,https://brightonhovedistrictbilliards.leaguerepublic.com/results/913984929/1_274228463/-1/-1.html
