Date dd/mm/yyyy,Time HH:MM,Division,Home Team,Away Team,Venue,Pitch,Home Score,Away Score,Season
24/01/2011,19:00,Division 1,St. Matthias A,Castle Snooker Club A,,,2,3,10
31/01/2011,19:00,Division 1,Castle Snooker Club A,Moulsecoomb Club A,,,3,2,10
31/01/2011,19:00,Division 1,Castle Snooker Club C,Brighton & Hove Golf Club,,,4,1,10
31/01/2011,19:00,Division 1,East Brighton Golf Club,Castle Snooker Club B,,,3,2,10
31/01/2011,19:00,Division 1,Portslade Royal British Legion A,St. Matthias A,,,2,3,10
07/02/2011,19:00,Division 1,Brighton & Hove Golf Club,Castle Snooker Club A,,,1,4,10
07/02/2011,19:00,Division 1,Castle Snooker Club B,Castle Snooker Club C,,,4,1,10
07/02/2011,19:00,Division 1,Moulsecoomb Club A,Portslade Royal British Legion A,,,3,2,10
07/02/2011,19:00,Division 1,St. Matthias A,East Brighton Golf Club,,,5,0,10
14/02/2011,19:00,Division 1,Castle Snooker Club B,St. Matthias A,,,4,1,10
14/02/2011,19:00,Division 1,Castle Snooker Club C,Castle Snooker Club A,,,0,5,10
14/02/2011,19:00,Division 1,East Brighton Golf Club,Moulsecoomb Club A,,,0,5,10
14/02/2011,19:00,Division 1,Portslade Royal British Legion A,Brighton & Hove Golf Club,,,5,0,10
21/02/2011,19:00,Division 1,Castle Snooker Club B,Moulsecoomb Club A,,,3,2,10
21/02/2011,19:00,Division 1,East Brighton Golf Club,Brighton & Hove Golf Club,,,2,3,10
21/02/2011,19:00,Division 1,Portslade Royal British Legion A,Castle Snooker Club A,,,1,4,10
21/02/2011,19:00,Division 1,St. Matthias A,Castle Snooker Club C,,,3,2,10
28/02/2011,19:00,Division 1,Brighton & Hove Golf Club,Castle Snooker Club B,,,2,3,10
28/02/2011,19:00,Division 1,Castle Snooker Club A,East Brighton Golf Club,,,4,1,10
28/02/2011,19:00,Division 1,Castle Snooker Club C,Portslade Royal British Legion A,,,2,3,10
28/02/2011,19:00,Division 1,Moulsecoomb Club A,St. Matthias A,,,2,3,10
07/03/2011,19:00,Division 1,Castle Snooker Club B,Castle Snooker Club A,,,2,3,10
07/03/2011,19:00,Division 1,East Brighton Golf Club,Portslade Royal British Legion A,,,2,3,10
07/03/2011,19:00,Division 1,Moulsecoomb Club A,Castle Snooker Club C,,,5,0,10
07/03/2011,19:00,Division 1,St. Matthias A,Brighton & Hove Golf Club,,,3,2,10
14/03/2011,19:00,Division 1,Brighton & Hove Golf Club,Moulsecoomb Club A,,,1,4,10
14/03/2011,19:00,Division 1,Castle Snooker Club A,St. Matthias A,,,4,1,10
14/03/2011,19:00,Division 1,Castle Snooker Club C,East Brighton Golf Club,,,2,3,10
14/03/2011,19:00,Division 1,Portslade Royal British Legion A,Castle Snooker Club B,,,2,3,10
21/03/2011,19:00,Division 1,Brighton & Hove Golf Club,Castle Snooker Club C,,,4,1,10
21/03/2011,19:00,Division 1,Castle Snooker Club B,East Brighton Golf Club,,,4,1,10
21/03/2011,19:00,Division 1,Moulsecoomb Club A,Castle Snooker Club A,,,3,2,10
21/03/2011,19:00,Division 1,St. Matthias A,Portslade Royal British Legion A,,,1,4,10
28/03/2011,19:00,Division 1,Castle Snooker Club A,Brighton & Hove Golf Club,,,5,0,10
28/03/2011,19:00,Division 1,Castle Snooker Club C,Castle Snooker Club B,,,0,5,10
28/03/2011,19:00,Division 1,East Brighton Golf Club,St. Matthias A,,,0,5,10
28/03/2011,19:00,Division 1,Portslade Royal British Legion A,Moulsecoomb Club A,,,0,5,10
04/04/2011,19:00,Division 1,Brighton & Hove Golf Club,Portslade Royal British Legion A,,,1,4,10
04/04/2011,19:00,Division 1,Castle Snooker Club A,Castle Snooker Club C,,,3,2,10
04/04/2011,19:00,Division 1,Moulsecoomb Club A,East Brighton Golf Club,,,4,1,10
04/04/2011,19:00,Division 1,St. Matthias A,Castle Snooker Club B,,,4,1,10
11/04/2011,19:00,Division 1,Brighton & Hove Golf Club,East Brighton Golf Club,,,3,2,10
11/04/2011,19:00,Division 1,Castle Snooker Club A,Portslade Royal British Legion A,,,2,3,10
11/04/2011,19:00,Division 1,Castle Snooker Club C,St. Matthias A,,,3,2,10
11/04/2011,19:00,Division 1,Moulsecoomb Club A,Castle Snooker Club B,,,4,1,10
06/09/2010,19:00,Division 2,Aldrington Club A,Champion House B,,,3,2,10
06/09/2010,19:00,Division 2,Champion House A,Aldrington Club B,,,1,4,10
06/09/2010,19:00,Division 2,Preston Club A,National Association of Railway Clubs A,,,0,5,10
06/09/2010,19:00,Division 2,St. Matthias B,Annunciation Club A,,,5,0,10
13/09/2010,19:00,Division 2,Aldrington Club B,St. Matthias B,,,2,3,10
13/09/2010,19:00,Division 2,Annunciation Club A,Aldrington Club A,,,3,2,10
13/09/2010,19:00,Division 2,Champion House B,Preston Club A,,,1,4,10
13/09/2010,19:00,Division 2,National Association of Railway Clubs A,Champion House A,,,4,1,10
20/09/2010,19:00,Division 2,Aldrington Club B,National Association of Railway Clubs A,,,3,2,10
20/09/2010,19:00,Division 2,Champion House A,Champion House B,,,3,2,10
20/09/2010,19:00,Division 2,Preston Club A,Annunciation Club A,,,1,4,10
20/09/2010,19:00,Division 2,St. Matthias B,Aldrington Club A,,,5,0,10
27/09/2010,19:00,Division 2,Aldrington Club A,Preston Club A,,,3,1,10
27/09/2010,19:00,Division 2,Annunciation Club A,Champion House A,,,3,2,10
27/09/2010,19:00,Division 2,Champion House B,Aldrington Club B,,,2,3,10
27/09/2010,19:00,Division 2,National Association of Railway Clubs A,St. Matthias B,,,2,3,10
04/10/2010,19:00,Division 2,Aldrington Club B,Annunciation Club A,,,4,1,10
04/10/2010,19:00,Division 2,Champion House A,Aldrington Club A,,,4,1,10
04/10/2010,19:00,Division 2,National Association of Railway Clubs A,Champion House B,,,3,2,10
04/10/2010,19:00,Division 2,St. Matthias B,Preston Club A,,,2,3,10
11/10/2010,19:00,Division 2,Aldrington Club A,Aldrington Club B,,,1,4,10
11/10/2010,19:00,Division 2,Annunciation Club A,National Association of Railway Clubs A,,,1,4,10
11/10/2010,19:00,Division 2,Champion House B,St. Matthias B,,,1,4,10
11/10/2010,19:00,Division 2,Preston Club A,Champion House A,,,2,3,10
18/10/2010,19:00,Division 2,Aldrington Club B,Preston Club A,,,4,1,10
18/10/2010,19:00,Division 2,Champion House B,Annunciation Club A,,,3,2,10
18/10/2010,19:00,Division 2,National Association of Railway Clubs A,Aldrington Club A,,,5,0,10
18/10/2010,19:00,Division 2,St. Matthias B,Champion House A,,,5,0,10
25/10/2010,19:00,Division 2,Aldrington Club B,Champion House A,,,3,2,10
25/10/2010,19:00,Division 2,Annunciation Club A,St. Matthias B,,,2,3,10
25/10/2010,19:00,Division 2,Champion House B,Aldrington Club A,,,,,10
25/10/2010,19:00,Division 2,National Association of Railway Clubs A,Preston Club A,,,4,1,10
01/11/2010,19:00,Division 2,Aldrington Club A,Annunciation Club A,,,,,10
01/11/2010,19:00,Division 2,Champion House A,National Association of Railway Clubs A,,,4,1,10
01/11/2010,19:00,Division 2,Preston Club A,Champion House B,,,2,3,10
01/11/2010,19:00,Division 2,St. Matthias B,Aldrington Club B,,,2,3,10
08/11/2010,19:00,Division 2,Aldrington Club A,St. Matthias B,,,,,10
08/11/2010,19:00,Division 2,Annunciation Club A,Preston Club A,,,3,2,10
08/11/2010,19:00,Division 2,Champion House B,Champion House A,,,3,2,10
08/11/2010,19:00,Division 2,National Association of Railway Clubs A,Aldrington Club B,,,2,3,10
15/11/2010,19:00,Division 2,Aldrington Club B,Champion House B,,,4,1,10
15/11/2010,19:00,Division 2,Champion House A,Annunciation Club A,,,4,1,10
15/11/2010,19:00,Division 2,Preston Club A,Aldrington Club A,,,,,10
15/11/2010,19:00,Division 2,St. Matthias B,National Association of Railway Clubs A,,,3,2,10
22/11/2010,19:00,Division 2,Aldrington Club A,Champion House A,,,,,10
22/11/2010,19:00,Division 2,Annunciation Club A,Aldrington Club B,,,0,5,10
22/11/2010,19:00,Division 2,Champion House B,National Association of Railway Clubs A,,,1,4,10
22/11/2010,19:00,Division 2,Preston Club A,St. Matthias B,,,0,5,10
06/12/2010,19:00,Division 2,Aldrington Club B,Aldrington Club A,,,,,10
06/12/2010,19:00,Division 2,Champion House A,Preston Club A,,,3,2,10
06/12/2010,19:00,Division 2,National Association of Railway Clubs A,Annunciation Club A,,,4,1,10
06/12/2010,19:00,Division 2,St. Matthias B,Champion House B,,,5,0,10
13/12/2010,19:00,Division 2,Aldrington Club A,National Association of Railway Clubs A,,,,,10
13/12/2010,19:00,Division 2,Annunciation Club A,Champion House B,,,2,3,10
13/12/2010,19:00,Division 2,Champion House A,St. Matthias B,,,0,5,10
13/12/2010,19:00,Division 2,Preston Club A,Aldrington Club B,,,1,4,10
10/01/2011,19:00,Division 2,Aldrington Club B,St. Matthias B,,,1,4,10
10/01/2011,19:00,Division 2,Annunciation Club A,Aldrington Club A,,,,,10
10/01/2011,19:00,Division 2,Champion House B,Preston Club A,,,1,4,10
10/01/2011,19:00,Division 2,National Association of Railway Clubs A,Champion House A,,,1,4,10
17/01/2011,19:00,Division 2,Aldrington Club B,National Association of Railway Clubs A,,,1,4,10
17/01/2011,19:00,Division 2,Champion House A,Champion House B,,,3,2,10
17/01/2011,19:00,Division 2,Preston Club A,Annunciation Club A,,,2,3,10
17/01/2011,19:00,Division 2,St. Matthias B,Aldrington Club A,,,,,10
24/01/2011,19:00,Division 2,Aldrington Club A,Preston Club A,,,,,10
24/01/2011,19:00,Division 2,Annunciation Club A,Champion House A,,,2,3,10
24/01/2011,19:00,Division 2,Champion House B,Aldrington Club B,,,0,5,10
24/01/2011,19:00,Division 2,National Association of Railway Clubs A,St. Matthias B,,,4,1,10
31/01/2011,19:00,Division 2,Aldrington Club B,Annunciation Club A,,,3,2,10
31/01/2011,19:00,Division 2,Champion House A,Aldrington Club A,,,,,10
31/01/2011,19:00,Division 2,National Association of Railway Clubs A,Champion House B,,,4,1,10
31/01/2011,19:00,Division 2,St. Matthias B,Preston Club A,,,4,1,10
07/02/2011,19:00,Division 2,Aldrington Club A,Aldrington Club B,,,,,10
07/02/2011,19:00,Division 2,Annunciation Club A,National Association of Railway Clubs A,,,2,3,10
07/02/2011,19:00,Division 2,Champion House B,St. Matthias B,,,2,3,10
07/02/2011,19:00,Division 2,Preston Club A,Champion House A,,,2,3,10
14/02/2011,19:00,Division 2,Aldrington Club B,Preston Club A,,,4,1,10
14/02/2011,19:00,Division 2,Champion House B,Annunciation Club A,,,3,2,10
14/02/2011,19:00,Division 2,National Association of Railway Clubs A,Aldrington Club A,,,,,10
