fixture_date,season,division,home_team,away_team,home_sp,away_sp,url,home_op,away_op
2023-11-22,23,1,Hassocks A,Moulsecoomb A,15,8,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410877.html,600,491
2023-11-22,23,1,St. Matthias B,St. Matthias A,15,10,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410876.html,600,502
2023-11-24,23,1,Moulsecoomb A,Hassocks A,8,15,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410866.html,473,600
2023-11-29,23,1,Moulsecoomb A,Moulsecoomb B,11,15,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410879.html,556,600
2023-11-29,23,1,St. Matthias A,Hassocks A,11,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410878.html,542,522
2023-12-06,23,1,Moulsecoomb B,Hassocks A,15,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410881.html,600,573
2023-12-06,23,1,St. Matthias B,Moulsecoomb A,11,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410880.html,538,556
2023-12-13,23,1,Hassocks A,St. Matthias B,12,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410883.html,525,572
2023-12-13,23,1,St. Matthias A,Moulsecoomb B,12,11,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410882.html,552,552
2024-01-10,23,1,Moulsecoomb A,St. Matthias A,13,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410885.html,593,539
2024-01-10,23,1,St. Matthias B,Moulsecoomb B,14,11,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410884.html,594,524
2024-01-17,23,1,Moulsecoomb A,Hassocks A,14,11,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410887.html,594,509
2024-01-24,23,1,Moulsecoomb B,Moulsecoomb A,11,10,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410889.html,539,525
2024-01-31,23,1,Moulsecoomb A,St. Matthias B,10,15,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410890.html,524,600
2024-02-07,23,1,St. Matthias A,St. Matthias B,13,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410886.html,558,550
2024-02-14,23,1,Hassocks A,Moulsecoomb B,14,9,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410891.html,580,504
2024-02-21,23,1,Moulsecoomb B,St. Matthias A,13,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410893.html,575,589
2024-02-21,23,1,St. Matthias B,Hassocks A,10,15,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410892.html,509,600
2024-02-28,23,1,Moulsecoomb B,St. Matthias B,14,10,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410895.html,598,501
2024-02-28,23,1,St. Matthias A,Moulsecoomb A,15,11,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410894.html,600,536
2024-03-06,23,1,Hassocks A,Moulsecoomb A,11,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410896.html,505,565
2024-03-06,23,1,St. Matthias B,St. Matthias A,10,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410897.html,501,555
2024-03-13,23,1,St. Matthias A,Hassocks A,11,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410899.html,488,585
2024-03-20,23,1,Hassocks A,St. Matthias A,13,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410888.html,555,580
2024-04-03,23,1,Moulsecoomb A,Moulsecoomb B,14,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/35410898.html,592,549
2022-05-18,21,1,Moulsecoomb A,Champion House,13,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002173.html,590,546
2022-04-13,21,1,St. Matthias A,Champion House,15,11,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002186.html,600,522
2022-04-13,21,1,St. Matthias A,Champion House,14,10,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002165.html,599,453
2022-03-30,21,1,Moulsecoomb A,Moulsecoomb B,10,15,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002185.html,543,600
2022-03-23,21,1,Champion House,Moulsecoomb A,12,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002184.html,559,577
2022-03-23,21,1,St. Matthias B,St. Matthias A,7,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002183.html,390,561
2022-03-16,21,1,Moulsecoomb B,St. Matthias B,13,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002181.html,567,598
2022-03-16,21,1,St. Matthias A,Moulsecoomb A,13,10,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002182.html,566,525
2022-03-09,21,1,Moulsecoomb B,St. Matthias A,11,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002179.html,537,573
2022-03-09,21,1,St. Matthias B,Champion House,12,11,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002180.html,527,515
2022-03-08,21,1,Moulsecoomb B,Champion House,14,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002167.html,595,542
2022-03-02,21,1,Champion House,Moulsecoomb B,12,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002177.html,506,558
2022-03-02,21,1,Moulsecoomb A,St. Matthias B,13,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002178.html,576,560
2022-02-09,21,1,Champion House,St. Matthias A,12,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002175.html,531,532
2022-02-09,21,1,Moulsecoomb B,Moulsecoomb A,11,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002176.html,538,572
2022-02-02,21,1,St. Matthias A,St. Matthias B,15,9,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002174.html,600,465
2022-01-26,21,1,Moulsecoomb A,St. Matthias A,11,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002171.html,538,526
2022-01-26,21,1,St. Matthias B,Moulsecoomb B,10,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002172.html,486,586
2022-01-19,21,1,St. Matthias A,Moulsecoomb B,14,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002169.html,570,570
2022-01-12,21,1,St. Matthias B,Moulsecoomb A,14,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002168.html,582,583
2022-01-05,21,1,St. Matthias A,Moulsecoomb A,15,10,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002162.html,600,538
2021-12-01,21,1,Moulsecoomb A,Moulsecoomb B,11,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002166.html,540,566
2021-11-24,21,1,Champion House,Moulsecoomb A,9,15,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002163.html,488,600
2021-11-24,21,1,St. Matthias B,St. Matthias A,11,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002164.html,518,578
2021-11-17,21,1,Moulsecoomb B,St. Matthias B,15,7,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002161.html,600,459
2021-11-10,21,1,Moulsecoomb B,St. Matthias A,12,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002159.html,534,571
2021-11-10,21,1,St. Matthias B,Champion House,15,10,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002160.html,600,494
2021-11-09,21,1,Champion House,Moulsecoomb B,8,15,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002158.html,404,600
2021-11-03,21,1,Moulsecoomb A,St. Matthias B,13,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002157.html,567,552
2021-10-27,21,1,Moulsecoomb B,Champion House,13,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002147.html,570,540
2021-10-13,21,1,Champion House,St. Matthias A,10,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002155.html,441,592
2021-10-13,21,1,Moulsecoomb B,Moulsecoomb A,13,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002156.html,575,557
2021-10-06,21,1,Moulsecoomb A,Champion House,14,11,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002153.html,588,514
2021-10-06,21,1,St. Matthias A,St. Matthias B,12,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002154.html,545,531
2021-09-29,21,1,Moulsecoomb A,St. Matthias A,15,9,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002152.html,600,431
2021-09-29,21,1,St. Matthias B,Moulsecoomb B,11,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002151.html,514,597
2021-09-22,21,1,Champion House,St. Matthias B,13,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002150.html,567,512
2021-09-22,21,1,St. Matthias A,Moulsecoomb B,14,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002149.html,580,557
2021-09-15,21,1,St. Matthias B,Moulsecoomb A,9,15,http://brightonhovedistrictbilliards.leaguerepublic.com/match/31002148.html,466,600
2023-03-29,22,1,Moulsecoomb A,Moulsecoomb B,12,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054325.html,550,594
2023-03-29,22,1,St. Matthias A,Hassocks A,13,9,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054326.html,545,410
2023-03-22,22,1,Hassocks A,Moulsecoomb A,12,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054323.html,493,576
